CODGEO;REG;DEP;LIBGEO;Zone en vigueur depuis le 5 juillet 2024;Reclassement juillet 2024
01148;84;01;Dortan;C;Non
01149;84;01;Douvres;C;Non
01150;84;01;Drom;C;Non
01151;84;01;Druillat;C;Non
01152;84;01;Échallon;C;Non
01153;84;01;Échenevex;A;Oui
01155;84;01;Évosges;C;Non
01156;84;01;Faramans;C;Non
01157;84;01;Fareins;C;Non
01158;84;01;Farges;B1;Non
01159;84;01;Feillens;C;Non
01160;84;01;Ferney-Voltaire;Abis;Oui
01162;84;01;Flaxieu;C;Non
01163;84;01;Foissiat;C;Non
01165;84;01;Francheleins;C;Non
01166;84;01;Frans;B2;Non
01167;84;01;Garnerans;C;Non
01169;84;01;Genouilleux;C;Non
01170;84;01;Béard-Géovreissiat;C;Non
01171;84;01;Géovreisset;C;Non
01173;84;01;Gex;A;Non
01174;84;01;Giron;C;Non
01175;84;01;Gorrevod;C;Non
01177;84;01;Grand-Corent;C;Non
01179;84;01;Grièges;C;Non
01180;84;01;Grilly;A;Oui
01181;84;01;Groissiat;C;Non
01183;84;01;Guéreins;C;Non
01184;84;01;Hautecourt-Romanèche;C;Non
01185;84;01;Plateau d'Hauteville;C;Non
01187;84;01;Haut Valromey;C;Non
01188;84;01;Illiat;C;Non
01189;84;01;Injoux-Génissiat;C;Non
01190;84;01;Innimond;C;Non
01191;84;01;Izenave;C;Non
01192;84;01;Izernore;C;Non
01193;84;01;Izieu;C;Non
01194;84;01;Jassans-Riottier;B1;Non
01195;84;01;Jasseron;C;Non
01196;84;01;Jayat;C;Non
01197;84;01;Journans;C;Non
01198;84;01;Joyeux;C;Non
01199;84;01;Jujurieux;C;Non
01200;84;01;Labalme;C;Non
01202;84;01;Lagnieu;C;Non
01203;84;01;Laiz;C;Non
01204;84;01;Le Poizat-Lalleyriat;C;Non
01206;84;01;Lantenay;C;Non
01207;84;01;Lapeyrouse;C;Non
01208;84;01;Lavours;C;Non
01209;84;01;Léaz;B1;Non
01210;84;01;Lélex;B2;Non
01211;84;01;Lent;C;Non
01212;84;01;Lescheroux;C;Non
01213;84;01;Leyment;C;Non
01214;84;01;Leyssard;C;Non
01215;84;01;Surjoux-Lhopital;C;Non
01216;84;01;Lhuis;C;Non
01219;84;01;Lompnas;C;Non
01224;84;01;Loyettes;C;Non
01225;84;01;Lurcy;C;Non
