var,2003,2004,2005,2006,2007,2008
f2ts,10140634665,10546284259,1385428895,1251489423,1276685957,1483738496
f2go,5084548,4764993,3502620,11478098,4684212,4264431
f2tr,1325230464,1245735254,1153843163,2090858463,2617605275,4198660479
f2cg,265054866,274600808,300868691,417815424,396654395,1046495751
f2bh,0,0,0,0,2738470043,17316516589
f2ca,238832061,237352435,225189397,223203183,229614272,166261587
f2ab,5287615311,5672924852,80904584,65180170,48822780,49520508
f2bg,0,0,382324,1757541,3896938,3918916
f2da,0,0,0,0,0,5519790335
f2dh,75611327,98800580,159958197,310568996,553576952,803739664
f2ee,4470506946,4010704712,3774507234,4578797216,5339672374,7580883025
f2aa,0,0,0,0,41265248,81402593
f2al,0,0,0,0,0,123191441
f2dm,0,0,0,0,0,1347235
f3vg,8527416085,10564219574,12170722179,14306036550,15575553007,8935057746
f3vh,3090104878,2126204088,1298941686,913999088,1239522717,3122786738
f4be,6912150962,7093100129,6957924543,7366036815,7387117976,7361020256
f4ba,16528135466,17280606188,18467022875,23267738080,24619751835,25560756855
f4bb,1354873124,1488932052,1661325830,1707491262,1998160965,2260551093
f4bc,2397188502,2500365161,2789986005,3018289964,3549290085,3913218654
f4bd,5211450400,5444821153,5581333180,5948217108,6265940025,6837506670
f4bf,0,0,5486686,9209051,11420772,12821379
f4tq,105085810,83915562,72053280,85718837,36269955,24537932
f4bl,19191928426,19896213275,20428022284,463171839,0,0
f0xx,519863087,621825280,568059451,649721976,649441654,693678354
f6de,1946175461,2081710509,2394494657,2195625724,2689072624,2847754300
f6gi,2368488420,2478327179,2428193627,635825751,587388649,615226312
f6gj,360162196,374682837,363095371,146469138,128264412,134847814
f6el,0,0,0,1829043252,1746329989,1708882534
f6em,0,0,0,233090468,242141479,238914351
f6gp,4305004144,4430090443,4441779077,2691201447,2506045959,2316054895
f6gu,0,0,0,1875313698,2201021362,2516846794
f6dd,1080463741,776693566,719608281,760369461,790986,720424
f6eh,58592746,0,0,0,825095,748392
f6gh,1878158,1505302,2217954,1606957,560058,561677
f6rs,0,794241969,1044545498,1142958918,1218141170,1151903916
f6rt,0,339626096,437687266,482353640,520805507,501668569
f6ru,0,1311971,1702301,1737793,2211700,1845703
f6ss,0,190057423,131901531,139872004,139071835,120227813
f6st,0,110498634,68304154,68961350,66592966,56690159
f6su,0,113078,83312,66024,81087,65037
f6ps,0,0,0,0,0,0
f6pt,0,0,0,0,0,0
f6pu,0,0,0,0,0,0
f6qr,0,0,0,0,6807,0
f6qw,0,0,0,0,2805,0
f6qs,440170636,673949068,658698959,746093882,870686505,900218551
f6qt,98217341,142346925,129868250,142763541,166067649,181959071
f6qu,672911,629475,505832,1224165,4588497,6626090
f6ev,3518,0,2635,1989,2357,2314
f6eu,10374653,0,8384938,7765597,7341532,7213753
f6cb,44637894,0,21383409,12629176,0,0
f6da,5787741,0,10434762,13346196,0,0
f6cc,8674217,0,12769971,190943,0,0
f6fa,162172320,0,90520283,88911640,87594425,109109744
f6fb,156011683,0,113558900,91785916,89117509,87711073
f6fc,220529031,0,130128203,123524829,111739617,113940422
f6fd,276654981,0,158869490,151602870,161451502,192408881
f6fe,487955403,0,214491983,244801625,271889675,245178226
f6fl,0,0,399804619,496202473,536451094,533798521
f6aa,41580149,0,0,0,0,0
f7ud,175688036,233242619,326207485,365386661,392166299,547917144
f7uf,961038717,1139709668,1141981038,1169787516,1258665791,1306820974
f7xs,0,29918938,21249806,17676160,17007449,13275358
