"CHEVILLARD";"Chevillard";"01430";"01101";3
"CHEVROUX";"Chevroux";"01190";"01102";3
"CHEVRY";"Chevry";"01170";"01103";2
"CHEZERY FORENS";"Chézery-Forens";"01200";"01104";3
"CHEZERY FORENS";"Chézery-Forens";"01410";"01104";3
"CIVRIEUX";"Civrieux";"01390";"01105";3
"CIZE";"Cize";"01250";"01106";3
"CLEYZIEU";"Cleyzieu";"01230";"01107";3
"COLIGNY";"Coligny";"01270";"01108";3
"COLLONGES";"Collonges";"01550";"01109";2
"COLOMIEU";"Colomieu";"01300";"01110";3
"CONAND";"Conand";"01230";"01111";3
"CONDAMINE";"Condamine";"01430";"01112";3
"CONDEISSIAT";"Condeissiat";"01400";"01113";3
"CONFORT";"Confort";"01200";"01114";3
"CONFRANCON";"Confrançon";"01310";"01115";3
"CONTREVOZ";"Contrevoz";"01300";"01116";3
"CONZIEU";"Conzieu";"01300";"01117";3
"CORBONOD";"Corbonod";"01420";"01118";3
"CORCELLES";"Corcelles";"01110";"01119";3
"CORLIER";"Corlier";"01110";"01121";3
"CORMARANCHE EN BUGEY";"Cormaranche-en-Bugey";"01110";"01122";3
"CORMORANCHE SUR SAONE";"Cormoranche-sur-Saône";"01290";"01123";3
"CORMOZ";"Cormoz";"01560";"01124";3
"CORVEISSIAT";"Corveissiat";"01250";"01125";3
"COURMANGOUX";"Courmangoux";"01370";"01127";3
"COURTES";"Courtes";"01560";"01128";3
"CRANS";"Crans";"01320";"01129";3
"CRAS SUR REYSSOUZE";"Cras-sur-Reyssouze";"01340";"01130";3
"CRESSIN ROCHEFORT";"Cressin-Rochefort";"01350";"01133";3
"CROTTET";"Crottet";"01290";"01134";3
"CROTTET";"Crottet";"01750";"01134";3
"CROZET";"Crozet";"01170";"01135";2
"CRUZILLES LES MEPILLAT";"Cruzilles-lès-Mépillat";"01290";"01136";3
"CULOZ";"Culoz";"01350";"01138";3
"CURCIAT DONGALON";"Curciat-Dongalon";"01560";"01139";3
"CURTAFOND";"Curtafond";"01310";"01140";3
"CUZIEU";"Cuzieu";"01300";"01141";3
"DAGNEUX";"Dagneux";"01120";"01142";2
"DIVONNE LES BAINS";"Divonne-les-Bains";"01220";"01143";2
"DOMMARTIN";"Dommartin";"01380";"01144";3
"DOMPIERRE SUR VEYLE";"Dompierre-sur-Veyle";"01240";"01145";3
"DOMPIERRE SUR CHALARONNE";"Dompierre-sur-Chalaronne";"01400";"01146";3
"DOMSURE";"Domsure";"01270";"01147";3
"DORTAN";"Dortan";"01590";"01148";3
"DOUVRES";"Douvres";"01500";"01149";3
"DROM";"Drom";"01250";"01150";3
"DRUILLAT";"Druillat";"01160";"01151";3
"ECHALLON";"Échallon";"01130";"01152";3
"ECHENEVEX";"Échenevex";"01170";"01153";3
"ETREZ";"Étrez";"01340";"01154";3
"EVOSGES";"Évosges";"01230";"01155";3
"FARAMANS";"Faramans";"01800";"01156";3
"FAREINS";"Fareins";"01480";"01157";3
"FARGES";"Farges";"01550";"01158";2
"FEILLENS";"Feillens";"01570";"01159";3
"FERNEY VOLTAIRE";"Ferney-Voltaire";"01210";"01160";3
"FLAXIEU";"Flaxieu";"01350";"01162";3
"FOISSIAT";"Foissiat";"01340";"01163";3
"FRANCHELEINS";"Francheleins";"01090";"01165";3
"FRANS";"Frans";"01480";"01166";2
"GARNERANS";"Garnerans";"01140";"01167";3
"GENOUILLEUX";"Genouilleux";"01090";"01169";3
"BEARD GEOVREISSIAT";"Géovreissiat";"01460";"01170";3
"GEOVREISSET";"Géovreisset";"01100";"01171";3
"GERMAGNAT";"Germagnat";"01250";"01172";3
"GEX";"Gex";"01170";"01173";2
"GIRON";"Giron";"01130";"01174";3
"GORREVOD";"Gorrevod";"01190";"01175";3
"LE GRAND ABERGEMENT";"Le Grand-Abergement";"01260";"01176";3
"GRAND CORENT";"Grand-Corent";"01250";"01177";3
"GRIEGES";"Grièges";"01290";"01179";3
"GRILLY";"Grilly";"01220";"01180";2
"GROISSIAT";"Groissiat";"01100";"01181";3
"GROSLEE";"Groslée";"01680";"01182";3
"GUEREINS";"Guéreins";"01090";"01183";3
"HAUTECOURT ROMANECHE";"Hautecourt-Romanèche";"01250";"01184";3
"HAUTEVILLE LOMPNES";"Hauteville-Lompnes";"01110";"01185";3
"HOSTIAZ";"Hostiaz";"01110";"01186";3
"HOTONNES";"Hotonnes";"01260";"01187";3
"ILLIAT";"Illiat";"01140";"01188";3
"INJOUX GENISSIAT";"Injoux-Génissiat";"01200";"01189";3
"INNIMOND";"Innimond";"01680";"01190";3
"IZENAVE";"Izenave";"01430";"01191";3
"IZERNORE";"Izernore";"01580";"01192";3
"IZIEU";"Izieu";"01300";"01193";3
"JASSANS RIOTTIER";"Jassans-Riottier";"01480";"01194";2
"JASSERON";"Jasseron";"01250";"01195";3
"JAYAT";"Jayat";"01340";"01196";3
"JOURNANS";"Journans";"01250";"01197";3
"JOYEUX";"Joyeux";"01800";"01198";3
"JUJURIEUX";"Jujurieux";"01640";"01199";3
"LABALME";"Labalme";"01450";"01200";3
"LAGNIEU";"Lagnieu";"01150";"01202";3
"LAIZ";"Laiz";"01290";"01203";3
"LALLEYRIAT";"Lalleyriat";"01130";"01204";3
"LANCRANS";"Lancrans";"01200";"01205";3
"LANTENAY";"Lantenay";"01430";"01206";3
"LAPEYROUSE";"Lapeyrouse";"01330";"01207";3
"LAVOURS";"Lavours";"01350";"01208";3
"LEAZ";"Léaz";"01200";"01209";2
"LELEX";"Lélex";"01410";"01210";3
"LENT";"Lent";"01240";"01211";3
"LESCHEROUX";"Lescheroux";"01560";"01212";3
"LEYMENT";"Leyment";"01150";"01213";3
"LEYSSARD";"Leyssard";"01450";"01214";3
"LHOPITAL";"Lhôpital";"01420";"01215";3
"LHUIS";"Lhuis";"01680";"01216";3
"LOCHIEU";"Lochieu";"01260";"01218";3
"LOMPNAS";"Lompnas";"01680";"01219";3
"LOMPNIEU";"Lompnieu";"01260";"01221";3
"LOYETTES";"Loyettes";"01360";"01224";3
"LURCY";"Lurcy";"01090";"01225";3
"MAGNIEU";"Magnieu";"01300";"01227";3
"MAILLAT";"Maillat";"01430";"01228";3
"MALAFRETAZ";"Malafretaz";"01340";"01229";3
"MANTENAY MONTLIN";"Mantenay-Montlin";"01560";"01230";3
"MANZIAT";"Manziat";"01570";"01231";3
"MARBOZ";"Marboz";"01851";"01232";3
"MARCHAMP";"Marchamp";"01680";"01233";3
"MARIGNIEU";"Marignieu";"01300";"01234";3
"MARLIEUX";"Marlieux";"01240";"01235";3
"MARSONNAS";"Marsonnas";"01340";"01236";3
"MARTIGNAT";"Martignat";"01100";"01237";3
"MASSIEUX";"Massieux";"01600";"01238";2
"MASSIGNIEU DE RIVES";"Massignieu-de-Rives";"01300";"01239";3
"MATAFELON GRANGES";"Matafelon-Granges";"01580";"01240";3
"MEILLONNAS";"Meillonnas";"01370";"01241";3
"MERIGNAT";"Mérignat";"01450";"01242";3
"MESSIMY SUR SAONE";"Messimy-sur-Saône";"01480";"01243";3
"MEXIMIEUX";"Meximieux";"01800";"01244";3
"BOHAS MEYRIAT RIGNAT";"Bohas-Meyriat-Rignat";"01250";"01245";3
"MEZERIAT";"Mézériat";"01660";"01246";3
"MIJOUX";"Mijoux";"01170";"01247";3
"MIJOUX";"Mijoux";"01410";"01247";3
"MIONNAY";"Mionnay";"01390";"01248";3
