,TU99,TAU99,REG,POL99,proba_zone1,proba_zone2,proba_zone3
170,0,8,26,2,0.0,0.0,1.0
171,0,8,31,2,0.0,0.237572456177,0.762427543823
172,0,8,41,2,0.0,0.00858349030767,0.991416509692
173,0,8,42,2,0.0,0.0,1.0
174,0,8,43,2,0.0,0.0,1.0
175,0,8,52,2,0.0,0.0,1.0
176,0,8,53,2,0.0,0.0,1.0
177,0,8,54,2,0.0,0.0,1.0
178,0,8,72,2,0.0,0.0,1.0
179,0,8,74,2,0.0,0.0,1.0
180,0,8,82,2,0.0,0.524781532666,0.475218467334
181,0,8,83,2,0.0,0.0,1.0
182,0,8,91,2,0.0,0.0,1.0
183,0,8,93,2,0.0,0.0,1.0
184,0,9,23,2,0.0,0.0,1.0
185,0,9,31,2,0.0,0.169525435484,0.830474564516
186,0,9,42,2,0.0,0.0,1.0
187,0,9,52,2,0.0,0.0,1.0
188,0,9,53,2,0.0,0.0,1.0
189,0,9,72,2,0.0,0.0,1.0
190,0,9,73,2,0.0,0.0,1.0
191,0,9,82,2,0.0,0.0851816090648,0.914818390935
192,0,9,91,2,0.0,0.0,1.0
193,0,9,93,2,0.0,0.0,1.0
194,0,10,11,2,0.494025629979,0.505974370021,0.0
195,0,10,21,2,0.0,0.0,1.0
196,0,10,22,2,0.0,0.233747569533,0.766252430467
197,0,10,23,2,0.0,0.0,1.0
198,0,10,24,2,0.0,0.0,1.0
199,1,0,1,4,0.0,0.0,1.0
200,1,0,2,4,0.0,0.0,1.0
201,1,0,3,4,0.0,0.0,1.0
202,1,0,4,4,0.0,0.0,1.0
203,1,0,11,4,0.0,1.0,0.0
204,1,0,21,3,0.0,0.0,1.0
205,1,0,21,4,0.0,0.0,1.0
206,1,0,22,3,0.0,0.228812439433,0.771187560567
207,1,0,22,4,0.0,0.0,1.0
208,1,0,23,3,0.0,0.302155466693,0.697844533307
209,1,0,23,4,0.0,0.0,1.0
210,1,0,24,3,0.0,0.0,1.0
211,1,0,24,4,0.0,0.0,1.0
212,1,0,25,4,0.0,0.0,1.0
213,1,0,26,3,0.0,0.0,1.0
214,1,0,26,4,0.0,0.0,1.0
215,1,0,31,3,0.0,0.14548333667,0.85451666333
216,1,0,31,4,0.0,0.0,1.0
217,1,0,41,3,0.0,0.0,1.0
218,1,0,41,4,0.0,0.0,1.0
219,1,0,42,3,0.0,0.0,1.0
220,1,0,42,4,0.0,0.0,1.0
221,1,0,43,3,0.0,0.0,1.0
222,1,0,43,4,0.0,0.0,1.0
223,1,0,52,3,0.0,0.0,1.0
224,1,0,52,4,0.0,0.0,1.0
225,1,0,53,3,0.0,0.0,1.0
226,1,0,53,4,0.0,0.0,1.0
227,1,0,54,3,0.0,0.0,1.0
228,1,0,54,4,0.0,0.0,1.0
229,1,0,72,3,0.0,0.0,1.0
